epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.659,1.22659,3.91446,1.7577,0.71618,0.16545,0.18488,0.13063,1.30391,1.93764,1.73655,7.22325e-05,7.22325e-05,7.22325e-05
2,318.175,1.09263,2.65139,1.61343,0.49725,0.19847,0.22065,0.14745,1.31301,1.81051,1.76547,0.000130254,0.000130254,0.000130254
3,450.138,1.05742,2.18617,1.57123,0.54013,0.20517,0.22003,0.1527,1.33789,1.72522,1.73531,0.000173953,0.000173953,0.000173953
4,597.084,1.03306,1.89358,1.53917,0.6105,0.2384,0.27878,0.19577,1.28058,1.51467,1.68392,0.000152551,0.000152551,0.000152551
5,743.382,1.01025,1.69001,1.5194,0.63158,0.24312,0.29506,0.21358,1.23964,1.43948,1.58057,0.000131068,0.000131068,0.000131068
6,931.243,0.97843,1.54132,1.4875,0.62505,0.26388,0.29613,0.20946,1.27788,1.36983,1.64491,0.000109585,0.000109585,0.000109585
7,1274.81,0.95646,1.42047,1.46706,0.68194,0.27256,0.31855,0.22609,1.21026,1.30957,1.60736,8.8102e-05,8.8102e-05,8.8102e-05
8,1410.04,0.93627,1.33194,1.43904,0.68553,0.27491,0.3039,0.22053,1.22341,1.25019,1.59141,6.6619e-05,6.6619e-05,6.6619e-05
9,1539.46,0.91756,1.25775,1.42153,0.71187,0.28744,0.34925,0.2537,1.20337,1.21362,1.59863,4.5136e-05,4.5136e-05,4.5136e-05
10,1668.3,0.89379,1.19313,1.40357,0.6808,0.28464,0.33493,0.24325,1.19114,1.20061,1.55852,2.3653e-05,2.3653e-05,2.3653e-05
