epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.617,1.15267,3.49629,1.59498,0.75896,0.15516,0.15178,0.09691,1.34152,2.01875,1.86707,7.22325e-05,7.22325e-05,7.22325e-05
2,265.447,1.07669,2.28576,1.52812,0.55123,0.22913,0.23099,0.15428,1.36713,1.76738,1.90831,0.000141703,0.000141703,0.000141703
3,394.687,1.04075,1.95732,1.48145,0.61811,0.2278,0.24702,0.17201,1.30124,1.78594,1.76691,0.00020831,0.00020831,0.00020831
4,523.095,1.02416,1.79925,1.46332,0.64125,0.22663,0.27284,0.1826,1.34553,1.59457,1.80746,0.00020411,0.00020411,0.00020411
5,726.576,1.01033,1.66986,1.44606,0.59813,0.28279,0.28518,0.19808,1.27011,1.53792,1.74849,0.000199814,0.000199814,0.000199814
6,882.667,0.99438,1.57934,1.43634,0.58902,0.2474,0.28136,0.19491,1.33452,1.53972,1.85584,0.000195517,0.000195517,0.000195517
7,1037.3,0.97625,1.5079,1.41713,0.60575,0.25543,0.29986,0.20842,1.32785,1.38572,1.77429,0.00019122,0.00019122,0.00019122
8,1190.95,0.97215,1.45926,1.41366,0.65397,0.27653,0.30475,0.21327,1.22703,1.35777,1.70084,0.000186924,0.000186924,0.000186924
9,1449.98,0.95645,1.40287,1.39945,0.63116,0.27461,0.32486,0.22629,1.2636,1.34582,1.65534,0.000182627,0.000182627,0.000182627
10,1751.52,0.95353,1.35982,1.39835,0.66649,0.2778,0.33002,0.22895,1.25876,1.34824,1.69044,0.000178331,0.000178331,0.000178331
11,1964.53,0.95326,1.32559,1.3926,0.66168,0.28659,0.35542,0.25893,1.21744,1.23402,1.6383,0.000174034,0.000174034,0.000174034
12,2112.56,0.93725,1.26503,1.38191,0.67823,0.27774,0.33367,0.23052,1.30263,1.30135,1.71857,0.000169737,0.000169737,0.000169737
13,2591.77,0.92615,1.24741,1.38023,0.68734,0.2527,0.33143,0.23444,1.23091,1.28688,1.64619,0.000165441,0.000165441,0.000165441
14,2777.69,0.92492,1.20405,1.37013,0.67316,0.29229,0.36052,0.25638,1.24607,1.21556,1.63644,0.000161144,0.000161144,0.000161144
15,2914.02,0.92371,1.18388,1.37115,0.4949,0.31978,0.34324,0.2467,1.20728,1.24754,1.60432,0.000156848,0.000156848,0.000156848
16,3044.86,0.91379,1.17166,1.3652,0.62434,0.316,0.34944,0.24889,1.23777,1.22181,1.6438,0.000152551,0.000152551,0.000152551
