epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.734,1.24975,3.54609,1.68134,0.65212,0.15759,0.15575,0.09767,1.38242,1.99278,1.91188,7.22325e-05,7.22325e-05,7.22325e-05
2,278.933,1.1568,2.43965,1.60899,0.65572,0.1764,0.18992,0.12069,1.33853,1.75595,1.80595,0.000141703,0.000141703,0.000141703
3,417.443,1.11545,2.10757,1.56247,0.5066,0.22848,0.22237,0.14295,1.30794,1.68164,1.8254,0.00020831,0.00020831,0.00020831
4,551.6,1.09048,1.9367,1.53621,0.60491,0.21442,0.25564,0.17168,1.33416,1.65844,1.84954,0.00020411,0.00020411,0.00020411
5,685.903,1.06801,1.81575,1.51621,0.62267,0.26002,0.28842,0.19436,1.30848,1.49139,1.75645,0.000199814,0.000199814,0.000199814
6,819.993,1.05401,1.73397,1.50362,0.62774,0.25021,0.29105,0.20204,1.31869,1.51054,1.79384,0.000195517,0.000195517,0.000195517
7,954.119,1.03474,1.6682,1.48747,0.59968,0.26868,0.28928,0.19768,1.33115,1.41285,1.75301,0.00019122,0.00019122,0.00019122
8,1088.75,1.03344,1.62079,1.48592,0.64605,0.28491,0.29919,0.2103,1.2612,1.37534,1.72108,0.000186924,0.000186924,0.000186924
9,1222.61,1.01569,1.5652,1.46703,0.6189,0.2685,0.3054,0.21604,1.26249,1.4296,1.6944,0.000182627,0.000182627,0.000182627
10,1356.39,1.01291,1.50914,1.46274,0.68918,0.25467,0.31648,0.22088,1.24408,1.34373,1.69914,0.000178331,0.000178331,0.000178331
11,1490.1,1.00048,1.48309,1.45619,0.63177,0.26876,0.30603,0.21596,1.22922,1.3057,1.69559,0.000174034,0.000174034,0.000174034
12,1624.28,0.99972,1.45056,1.44622,0.54523,0.32915,0.33674,0.24192,1.24477,1.29343,1.68331,0.000169737,0.000169737,0.000169737
13,1758.32,0.99545,1.42043,1.44437,0.67439,0.2851,0.33534,0.23792,1.22419,1.25122,1.65208,0.000165441,0.000165441,0.000165441
14,1892.23,0.98718,1.38175,1.44021,0.70794,0.26841,0.32763,0.23442,1.24777,1.21999,1.68748,0.000161144,0.000161144,0.000161144
15,2027.05,0.98214,1.37137,1.43508,0.6911,0.28526,0.32822,0.2314,1.25726,1.27072,1.71322,0.000156848,0.000156848,0.000156848
16,2164.05,0.97968,1.35198,1.43438,0.60746,0.29876,0.33948,0.24471,1.24854,1.25627,1.67699,0.000152551,0.000152551,0.000152551
17,2298.63,0.97553,1.31942,1.43211,0.53566,0.32002,0.33463,0.23849,1.21877,1.24526,1.66301,0.000148254,0.000148254,0.000148254
18,2432.47,0.96496,1.30129,1.42224,0.64181,0.28748,0.35758,0.25982,1.21459,1.18816,1.65047,0.000143958,0.000143958,0.000143958
19,2567.2,0.96609,1.2781,1.41997,0.57622,0.3104,0.34741,0.25159,1.17663,1.20266,1.62308,0.000139661,0.000139661,0.000139661
20,2701.03,0.94829,1.24272,1.40541,0.55636,0.31297,0.33655,0.24095,1.2704,1.2337,1.67511,0.000135365,0.000135365,0.000135365
21,2835.33,0.95262,1.24663,1.41058,0.67348,0.29086,0.34134,0.24841,1.19149,1.20873,1.60707,0.000131068,0.000131068,0.000131068
22,2968.82,0.94916,1.22207,1.40844,0.52972,0.32208,0.33561,0.24,1.22436,1.21438,1.66247,0.000126771,0.000126771,0.000126771
23,3102.74,0.9353,1.1998,1.39789,0.49393,0.35355,0.35484,0.25939,1.20225,1.16412,1.61117,0.000122475,0.000122475,0.000122475
