epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1400.22,1.14415,3.33188,1.44415,0.53333,0.08914,0.08202,0.05749,1.25237,2.35087,1.32771,7.22829e-05,7.22829e-05,7.22829e-05
2,4961.8,1.06595,2.19081,1.37997,0.55917,0.06187,0.06464,0.04533,1.24715,1.95721,1.28127,0.000130299,0.000130299,0.000130299
3,10977.7,1.03132,1.85946,1.33647,0.55689,0.03838,0.07442,0.05573,1.20577,1.69028,1.25342,0.000173994,0.000173994,0.000173994
4,17675.6,0.99614,1.68192,1.31899,0.56397,0.05427,0.06946,0.04966,1.19316,1.58152,1.2445,0.000152551,0.000152551,0.000152551
