epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,22.0903,0.71804,1.46554,1.20424,0.68901,0.68176,0.72016,0.49204,1.70594,1.55823,1.42404,2.82082e-05,2.82082e-05,2.82082e-05
40,23.0449,0.87266,1.42285,1.35952,0.68901,0.68176,0.72016,0.49204,1.70594,1.55823,1.42404,2.84911e-05,2.84911e-05,2.84911e-05
41,24.2135,1.20814,1.81541,1.5708,0.69425,0.67349,0.7,0.45684,1.67667,1.61394,1.41533,2.87504e-05,2.87504e-05,2.87504e-05
42,25.4372,1.03074,1.55471,1.41738,0.69425,0.67349,0.7,0.45684,1.67667,1.61394,1.41533,2.89861e-05,2.89861e-05,2.89861e-05
43,26.5253,0.63518,0.86969,0.98186,0.71314,0.67095,0.67921,0.4232,1.67188,1.66299,1.41124,2.91983e-05,2.91983e-05,2.91983e-05
44,27.5325,1.32781,2.313,1.59304,0.71314,0.67095,0.67921,0.4232,1.67188,1.66299,1.41124,2.93869e-05,2.93869e-05,2.93869e-05
45,28.6493,0.92143,1.36763,1.25258,0.73211,0.66931,0.67982,0.42415,1.7048,1.76128,1.41744,2.9552e-05,2.9552e-05,2.9552e-05
46,29.1399,0.53213,0.71313,0.9952,0.73211,0.66931,0.67982,0.42415,1.7048,1.76128,1.41744,2.96935e-05,2.96935e-05,2.96935e-05
47,29.6384,0.93368,1.21488,1.40772,0.76359,0.67068,0.67997,0.42302,1.76597,1.83571,1.43711,2.98114e-05,2.98114e-05,2.98114e-05
48,30.0604,1.1216,1.94172,1.52849,0.76359,0.67068,0.67997,0.42302,1.76597,1.83571,1.43711,2.99058e-05,2.99058e-05,2.99058e-05
49,30.5091,0.73033,1.18347,1.25399,0.7601,0.66958,0.68086,0.40827,1.75789,1.8846,1.4346,2.99766e-05,2.99766e-05,2.99766e-05
50,30.9529,0.85534,1.796,1.37479,0.7601,0.66958,0.68086,0.40827,1.75789,1.8846,1.4346,3.00238e-05,3.00238e-05,3.00238e-05
51,31.3948,0.86542,1.16685,1.15443,0.8063,0.65088,0.68322,0.39243,1.80162,1.97829,1.47329,3.00475e-05,3.00475e-05,3.00475e-05
52,31.8219,1.12097,2.54898,1.40169,0.8063,0.65088,0.68322,0.39243,1.80162,1.97829,1.47329,3.00476e-05,3.00476e-05,3.00476e-05
53,32.2891,0.75848,1.08527,1.19027,0.8063,0.65088,0.68322,0.39243,1.80162,1.97829,1.47329,3.00242e-05,3.00242e-05,3.00242e-05
54,32.7647,0.57272,1.0048,1.04972,0.84345,0.49097,0.60312,0.34147,1.81451,2.05394,1.46748,2.99772e-05,2.99772e-05,2.99772e-05
55,33.1798,0.72599,0.68103,1.06042,0.84345,0.49097,0.60312,0.34147,1.81451,2.05394,1.46748,2.99066e-05,2.99066e-05,2.99066e-05
56,33.6184,1.18953,1.86917,1.52032,0.84345,0.49097,0.60312,0.34147,1.81451,2.05394,1.46748,2.98125e-05,2.98125e-05,2.98125e-05
