epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.576,1.14562,3.33997,1.44424,0.58453,0.21021,0.1833,0.13244,1.24898,2.16827,1.32593,7.22829e-05,7.22829e-05,7.22829e-05
2,1160.25,1.06553,2.20228,1.38474,0.58782,0.2035,0.20746,0.14216,1.22787,2.04191,1.30163,0.000130299,0.000130299,0.000130299
3,1783.94,1.0306,1.86034,1.34513,0.63253,0.24811,0.24806,0.17659,1.21857,1.72407,1.2607,0.000173994,0.000173994,0.000173994
4,2371.11,0.99968,1.67572,1.32066,0.66795,0.2532,0.2712,0.19599,1.21,1.61953,1.25757,0.000152551,0.000152551,0.000152551
5,2895.31,0.97589,1.54989,1.29818,0.6785,0.27359,0.28411,0.20605,1.1555,1.45875,1.21219,0.000131068,0.000131068,0.000131068
6,3724.12,0.94885,1.43077,1.28118,0.68505,0.26426,0.28858,0.21427,1.18176,1.50729,1.2253,0.000109585,0.000109585,0.000109585
7,4404.31,0.92936,1.33743,1.26511,0.64789,0.28969,0.29986,0.22005,1.20295,1.41387,1.22902,8.8102e-05,8.8102e-05,8.8102e-05
8,4977.32,0.90982,1.26555,1.25582,0.72198,0.26159,0.32621,0.2438,1.15763,1.33145,1.19867,6.6619e-05,6.6619e-05,6.6619e-05
9,5590.19,0.89785,1.2025,1.24095,0.68183,0.28387,0.31629,0.23156,1.18753,1.34361,1.22972,4.5136e-05,4.5136e-05,4.5136e-05
10,6201.71,0.88554,1.15755,1.23183,0.62546,0.29354,0.32013,0.23711,1.17994,1.34572,1.2149,2.3653e-05,2.3653e-05,2.3653e-05
